date,first_male,first_female,finishers,helpers,last_updated
2023-01-21,Vincent MCKENNA,Abigail BRANSTON,31,9,2026-05-03 11:09:21.636670
2023-01-28,Vincent MCKENNA,Lettie FICKLING,57,11,2026-05-03 11:09:21.636670
2023-02-11,Vincent MCKENNA,Alina KRALIK,52,9,2026-05-03 11:09:21.636670
2023-02-18,Julius OTT,Hannah BURKHARDT,67,10,2026-05-03 11:09:21.636670
2023-02-25,Tobias RIKER,Alexandra SOKOLOVA,75,10,2026-05-03 11:09:21.636670
2023-03-04,Henry MCNULTY,Anna SIMKOVICS,106,14,2026-05-03 11:09:21.636670
2023-03-18,Finnian GRAY,Crystal DISHMAN,71,7,2026-05-03 11:09:21.636670
2023-03-25,Julius OTT,Alina KRALIK,94,13,2026-05-03 11:09:21.636670
2023-04-01,Finnian GRAY,Magdalena GAJEK,68,8,2026-05-03 11:09:21.636670
2023-04-08,Tobias RIKER,Alexandra SOKOLOVA,64,12,2026-05-03 11:09:21.636670
2023-04-15,Vincent MCKENNA,Annette HAMES,76,9,2026-05-03 11:09:21.636670
2023-04-22,Reynald POUCHIN,Alina KRALIK,204,17,2026-05-03 11:09:21.636670
2023-04-29,Sebastian WELLE,Kate SMITH,109,11,2026-05-03 11:09:21.636670
2023-05-06,Charles George STOCKLEY,Aleksandra TKACZYK,105,11,2026-05-03 11:09:21.636670
2023-05-13,Finnian GRAY,Orla HOULIHAN,86,11,2026-05-03 11:09:21.636670
2023-05-20,Vincent MCKENNA,Denise VAN ELK,97,10,2026-05-03 11:09:21.636670
2023-05-27,Ali REZAI,Sophie GRABNER,125,10,2026-05-03 11:09:21.636670
2023-06-03,Davide ZANETTI,Polina FOTEVA,140,22,2026-05-03 11:09:21.636670
2023-06-10,Peter BIEBL,Sonja BREUSS,89,9,2026-05-03 11:09:21.636670
2023-06-17,Jack RENYARD,Silke PLONER,111,9,2026-05-03 11:09:21.636670
2023-06-24,Harry BRODIE,Alina KRALIK,100,9,2026-05-03 11:09:21.636670
2023-07-01,Emil JAIDHAUSER,Anita LENNEIS,114,10,2026-05-03 11:09:21.636670
2023-07-08,Lucas CHIS,Fiona TORZEWSKA,106,12,2026-05-03 11:09:21.636670
2023-07-15,Anton ZASEDATELEV,Anna SIMKOVICS,109,10,2026-05-03 11:09:21.636670
2023-07-22,Julius OTT,Sonja BREUSS,141,11,2026-05-03 11:09:21.636670
2023-07-29,Joe O'BRIEN,Anita LENNEIS,113,10,2026-05-03 11:09:21.636670
2023-08-05,Sebastian WELLE,Mareike PFEIL,83,9,2026-05-03 11:09:21.636670
2023-08-12,Finnian GRAY,Sonja BREUSS,119,10,2026-05-03 11:09:21.636670
2023-08-19,Ali REZAI,Anna SIMKOVICS,119,11,2026-05-03 11:09:21.636670
2023-08-26,Martin MISTELBAUER,Anita LENNEIS,109,11,2026-05-03 11:09:21.636670
2023-09-02,Martin MISTELBAUER,Cordelia PARKER,132,13,2026-05-03 11:09:21.636670
2023-09-09,Anton ZASEDATELEV,Alina KRALIK,132,8,2026-05-03 11:09:21.636670
2023-09-16,Dominik WYCHERA,Maria HINNERTH,82,8,2026-05-03 11:09:21.636670
2023-09-23,Wendelin MÖRTENDORFER,Barbara SCHMID,74,12,2026-05-03 11:09:21.636670
2023-09-30,Josh BEECH,Kaye MATHIES,114,12,2026-05-03 11:09:21.636670
2023-10-07,Martin MISTELBAUER,Sonja BREUSS,104,11,2026-05-03 11:09:21.636670
2023-10-14,Martin MISTELBAUER,Sonja BREUSS,108,12,2026-05-03 11:09:21.636670
2023-10-21,Steffen LANG,Alina KRALIK,109,10,2026-05-03 11:09:21.636670
2023-10-28,Sebastian WELLE,Siena COVINO,145,14,2026-05-03 11:09:21.636670
2023-11-04,Kristoffer LINNA,Anita LENNEIS,123,11,2026-05-03 11:09:21.636670
2023-11-11,Martin MISTELBAUER,Linda FERSTL,181,28,2026-05-03 11:09:21.636670
2023-11-18,Callan MOODY,Chloe BAKER,100,16,2026-05-03 11:09:21.636670
2023-11-25,Florian WATTERS,Joanna FRANCZAK,96,12,2026-05-03 11:09:21.636670
2023-12-02,Martin MISTELBAUER,Elisabeth POPULORUM,59,12,2026-05-03 11:09:21.636670
2023-12-09,Martin MISTELBAUER,Anna ANDERSON,95,10,2026-05-03 11:09:21.636670
2023-12-16,Florian TAUSCHER,Laurie MARLOW,81,10,2026-05-03 11:09:21.636670
2023-12-30,Martin MISTELBAUER,Monika SZUMLAS,85,8,2026-05-03 11:09:21.636670
2024-01-06,Justus SCHMIDT,Kerstin FAGERSTROM,72,14,2026-05-03 11:09:21.636670
2024-01-13,Martin MISTELBAUER,Denise VAN ELK,70,10,2026-05-03 11:09:21.636670
2024-01-20,Martin MISTELBAUER,Rebecca SHAW,108,15,2026-05-03 11:09:21.636670
2024-01-27,Julius OTT,Dorit LÖFFLER,100,6,2026-05-03 11:09:21.636670
2024-02-03,Martin MISTELBAUER,Emma D'ANTONI,106,12,2026-05-03 11:09:21.636670
2024-02-10,Markus REIßELHUBER,Dorit LÖFFLER,117,11,2026-05-03 11:09:21.636670
2024-02-17,Allard VAN BELOIS,Laura COOMBER,109,11,2026-05-03 11:09:21.636670
2024-02-24,Sebastian WELLE,Åsne TRØMBORG,116,13,2026-05-03 11:09:21.636670
2024-03-02,Martin MISTELBAUER,Dorit LÖFFLER,104,13,2026-05-03 11:09:21.636670
2024-03-09,Steffen LANG,Lia DOPPLER,89,12,2026-05-03 11:09:21.636670
2024-03-16,Jakob NEUNHÄUSERER,Elena CHAPMAN,122,13,2026-05-03 11:09:21.636670
2024-03-23,Julius OTT,Tamara KONRAD,152,13,2026-05-03 11:09:21.636670
2024-03-30,Steffen LANG,Tamara HEROLD,121,14,2026-05-03 11:09:21.636670
2024-04-06,Lukas GÄRTNER,Dorit LÖFFLER,145,16,2026-05-03 11:09:21.636670
2024-04-13,Tomasz SOMMER,Luzia LUDWIG,136,14,2026-05-03 11:09:21.636670
2024-04-20,Martin MISTELBAUER,Dorit LÖFFLER,200,20,2026-05-03 11:09:21.636670
2024-04-27,Julius OTT,Caroline WESTGARTH,134,12,2026-05-03 11:09:21.636670
2024-05-04,Martin MISTELBAUER,Natalie THOMPSON,142,18,2026-05-03 11:09:21.636670
2024-05-11,Martin MISTELBAUER,Anita LENNEIS,174,24,2026-05-03 11:09:21.636670
2024-05-18,Stefan SZABLEWSKI,Gesa KOß,145,14,2026-05-03 11:09:21.636670
2024-05-25,Martin MISTELBAUER,Veronika LEIKAM,157,17,2026-05-03 11:09:21.636670
2024-06-01,Martin MISTELBAUER,Tamara HEROLD,153,16,2026-05-03 11:09:21.636670
2024-06-08,Martin MISTELBAUER,Akiko SIEDENBURG,147,10,2026-05-03 11:09:21.636670
2024-06-15,Martin MISTELBAUER,Helen TARANOWSKI,134,15,2026-05-03 11:09:21.636670
2024-06-22,Luis GONCALVES,Tamara HEROLD,67,12,2026-05-03 11:09:21.636670
2024-06-29,Martin MISTELBAUER,Carla HANSEN,140,11,2026-05-03 11:09:21.636670
2024-07-06,Vincent MCKENNA,Charlotte ADAMO,130,15,2026-05-03 11:09:21.636670
2024-07-13,Julius OTT,Mona KOHN,174,11,2026-05-03 11:09:21.636670
2024-07-20,Florian TAUSCHER,Luzia LUDWIG,164,12,2026-05-03 11:09:21.636670
2024-07-27,Adam JELLEY,Iris UNGER,123,8,2026-05-03 11:09:21.636670
2024-08-03,Martin MISTELBAUER,Luzia LUDWIG,160,11,2026-05-03 11:09:21.636670
2024-08-10,Martin MISTELBAUER,Grace FINN,191,14,2026-05-03 11:09:21.636670
2024-08-17,Martin MISTELBAUER,Luzia LUDWIG,172,15,2026-05-03 11:09:21.636670
2024-08-24,Martin MISTELBAUER,Wenjia CHEN,162,14,2026-05-03 11:09:21.636670
2024-08-31,Martin MISTELBAUER,Luzia LUDWIG,132,13,2026-05-03 11:09:21.636670
2024-09-07,Martin MISTELBAUER,Jo TEMPLE,143,11,2026-05-03 11:09:21.636670
2024-09-21,Julius OTT,Anne-Catherine HORSTER,161,11,2026-05-03 11:09:21.636670
2024-09-28,Martin MISTELBAUER,Gesa KOß,138,13,2026-05-03 11:09:21.636670
2024-10-05,Martin MISTELBAUER,Henrietta MARSH-SMITH,155,11,2026-05-03 11:09:21.636670
2024-10-12,Thys MOREAU,Ana MANCE,123,15,2026-05-03 11:09:21.636670
2024-10-19,Jacopo Massimiliano STÖCHER,Becky PRICE,172,16,2026-05-03 11:09:21.636670
2024-10-26,Martin MISTELBAUER,Seine SHAILOBEKOVA,197,13,2026-05-03 11:09:21.636670
2024-11-02,Kieran HALSEY,Anna SIMKOVICS,179,16,2026-05-03 11:09:21.636670
2024-11-09,Peter BIEBL,Theresia LANZDORF,197,28,2026-05-03 11:09:21.636670
2024-11-16,Abdelatif LAROUI,Alex BINLEY,149,15,2026-05-03 11:09:21.636670
2024-11-23,Martin MISTELBAUER,Ruby CARTER,155,13,2026-05-03 11:09:21.636670
2024-11-30,George LOXTON,Rebecca BLAIN,169,13,2026-05-03 11:09:21.636670
2024-12-07,George LOXTON,Katherine WEST,155,15,2026-05-03 11:09:21.636670
2024-12-14,George LOXTON,Anna SIMKOVICS,146,13,2026-05-03 11:09:21.636670
2024-12-21,Martin MISTELBAUER,Rebecca FLAHERTY,163,13,2026-05-03 11:09:21.636670
2024-12-28,Martin MISTELBAUER,Sarah STEWART,123,11,2026-05-03 11:09:21.636670
2025-01-04,Martin MISTELBAUER,Victoria BARTHELMESS,124,16,2026-05-03 11:09:21.636670
2025-01-11,Martin MISTELBAUER,Rachel ALVES,154,14,2026-05-03 11:09:21.636670
2025-01-18,Martin MISTELBAUER,Fiona BAGLEY,146,13,2026-05-03 11:09:21.636670
2025-01-25,Martin MISTELBAUER,Anita LENNEIS,113,13,2026-05-03 11:09:21.636670
2025-02-01,Martin MISTELBAUER,Isabel SEELMANN,131,17,2026-05-03 11:09:21.636670
2025-02-08,Martin MISTELBAUER,Anita LENNEIS,158,13,2026-05-03 11:09:21.636670
2025-02-15,Julius OTT,Sonja BREUSS,119,10,2026-05-03 11:09:21.636670
2025-02-22,Simon BAARS,Lola SERVARY,144,14,2026-05-03 11:09:21.636670
2025-03-01,Vincent MCKENNA,Eva FORSTER,165,16,2026-05-03 11:09:21.636670
2025-03-08,Martin MISTELBAUER,Lola SERVARY,161,12,2026-05-03 11:09:21.636670
2025-03-15,Martin MISTELBAUER,Anita LENNEIS,94,12,2026-05-03 11:09:21.636670
2025-03-22,Martin MISTELBAUER,Kate ALLEN,182,14,2026-05-03 11:09:21.636670
2025-03-29,Dmitrii GARMASH,Mina Elise GUNERIUSSEN,119,14,2026-05-03 11:09:21.636670
2025-04-05,Martin MISTELBAUER,Lola SERVARY,403,28,2026-05-03 11:09:21.636670
2025-04-12,Jernej ZOHAR,Annika BRAND,207,14,2026-05-03 11:09:21.636670
2025-04-19,Steffen LANG,Lola SERVARY,206,12,2026-05-03 11:09:21.636670
2025-04-26,Martin MISTELBAUER,Lola SERVARY,179,15,2026-05-03 11:09:21.636670
2025-05-03,Vincent MCKENNA,Nada PAUER,236,15,2026-05-03 11:09:21.636670
2025-05-10,Eva + Charles SERVARY SIDOIS,Marian DE LA BRENA,183,19,2026-05-03 11:09:21.636670
2025-05-17,Jacques LIGIER,Pelin ERSOY,202,16,2026-05-03 11:09:21.636670
2025-05-24,Matus HUJSA,Sonja BREUSS,191,13,2026-05-03 11:09:21.636670
2025-05-31,Vincent MCKENNA,Lisa FORST,202,15,2026-05-03 11:09:21.636670
2025-06-07,Martin MISTELBAUER,Lucy MCKERRELL,200,14,2026-05-03 11:09:21.636670
2025-06-14,Vincent MCKENNA,Dorit LÖFFLER,199,12,2026-05-03 11:09:21.636670
2025-06-21,Martin MISTELBAUER,Lola SERVARY,153,14,2026-05-03 11:09:21.636670
2025-07-05,Martin MÜLLER,Sonja BREUSS,203,18,2026-05-03 11:09:21.636670
2025-07-12,Matthew CLUETT,Hannah FOLGHERAITER,214,13,2026-05-03 11:09:21.636670
2025-07-19,Tomasz PYZNAR,Theresa Chioma BÖTTEL,205,13,2026-05-03 11:09:21.636670
2025-07-26,James DUNN,Sophie COLLINS,118,12,2026-05-03 11:09:21.636670
2025-08-02,Rhys HARDMAN,Anita LENNEIS,210,11,2026-05-03 11:09:21.636670
2025-08-09,Martin MISTELBAUER,Lola SERVARY,192,10,2026-05-03 11:09:21.636670
2025-08-16,Martin MISTELBAUER,Athene RYAN,184,17,2026-05-03 11:09:21.636670
2025-08-23,Martin MISTELBAUER,Christina ARTHOLD,195,13,2026-05-03 11:09:21.636670
2025-08-30,Martin MISTELBAUER,Lola SERVARY,211,14,2026-05-03 11:09:21.636670
2025-09-06,Martin MISTELBAUER,Lola SERVARY,223,15,2026-05-03 11:09:21.636670
2025-09-13,Martin MISTELBAUER,Gesa KOß,149,19,2026-05-03 11:09:21.636670
2025-09-20,Daniel CLEMSON,Yat Wing SMART,201,16,2026-05-03 11:09:21.636670
2025-09-27,Ian ZHOU,Julie SMITH,203,20,2026-05-03 11:09:21.636670
2025-10-04,Martin MISTELBAUER,Breda MCDONALD,182,16,2026-05-03 11:09:21.636670
2025-10-11,Martin WESS,Zuzana KURUCOVA,213,16,2026-05-03 11:09:21.636670
2025-10-18,Gerhard LECHNER,Dorit LÖFFLER,178,15,2026-05-03 11:09:21.636670
2025-10-25,Martin MISTELBAUER,Anita LENNEIS,173,19,2026-05-03 11:09:21.636670
2025-11-01,Kristoffer LINNA,Tamara HEROLD,206,33,2026-05-03 11:09:21.636670
2025-11-08,Kristoffer LINNA,Becky MOYLETT,209,18,2026-05-03 11:09:21.636670
2025-11-15,Ali REZAI,Christiane ALTENDORFER,219,18,2026-05-03 11:09:21.636670
2025-11-22,Martin MISTELBAUER,Helene GREENWOOD,181,15,2026-05-03 11:09:21.636670
2025-11-29,Martin MISTELBAUER,Anita LENNEIS,188,18,2026-05-03 11:09:21.636670
2025-12-06,Martin MISTELBAUER,Magdalena GAVAHAN,192,15,2026-05-03 11:09:21.636670
2025-12-13,Martin MISTELBAUER,Anita LENNEIS,177,19,2026-05-03 11:09:21.636670
2025-12-20,Martin MISTELBAUER,Chloe HANBURY,162,21,2026-05-03 11:09:21.636670
2025-12-27,Martin MISTELBAUER,Sophie HOUGHTON,136,10,2026-05-03 11:09:21.636670
2026-01-03,Martin MISTELBAUER,Sonja BREUSS,156,16,2026-05-03 11:09:21.636670
2026-01-10,Martin MISTELBAUER,Anita LENNEIS,101,15,2026-05-03 11:09:21.636670
2026-01-17,Charles SIDOIS,Arielle MCBRIEN,129,18,2026-05-03 11:09:21.636670
2026-01-31,Raphaël LORENZI,Alina SANDAUER,148,14,2026-05-03 11:09:21.636670
2026-02-07,Charles SIDOIS,Pelin ERSOY,175,17,2026-05-03 11:09:21.636670
2026-02-14,Gabriel PIETSCHMANN,Esther SWAFFIELD,132,14,2026-05-03 11:09:21.636670
2026-02-28,Joseph LINDSAY,Anna SIMKOVICS,204,19,2026-05-03 11:09:21.636670
2026-03-07,Eva + Charles SERVARY SIDOIS,Lola SERVARY,285,18,2026-05-03 11:09:21.636670
2026-03-14,Vincent MCKENNA,Lola SERVARY,184,21,2026-05-03 11:09:21.636670
2026-03-21,Eva + Charles SERVARY SIDOIS,Lola SERVARY,195,20,2026-05-03 11:09:21.636670
2026-03-28,Steffen LANG,Dorit LÖFFLER,138,15,2026-05-03 11:09:21.636670
2026-04-04,Eva + Charles SERVARY SIDOIS,Lola SERVARY,188,22,2026-05-03 11:09:21.636670
2026-04-11,Eva + Charles SERVARY SIDOIS,Lola SERVARY,225,19,2026-05-03 11:09:21.636670
2026-04-18,Eva + Charles SERVARY SIDOIS,Lola SERVARY,308,40,2026-05-03 11:09:21.636670
2026-04-25,Eva + Charles SERVARY SIDOIS,Lola SERVARY,211,16,2026-05-03 11:09:21.636670
2026-05-02,Connor MCGURK,Shea JOHNSON,240,18,2026-05-03 11:09:21.636670
